gas_param,client_name,runtime_ms,pvalue,conf_int_low,conf_int_high,test_name,target_opcode,model_coef_name,source_label,glue_adjustment,rsquared,rsquared_adj,param_bn128,param_mem_size,param_mod_bits,new_gas_decimal,new_gas_rounded,poor_fit,is_winner,selected_test,selected_opcode,selected_model_coef_name
OPCODE_SMOD,nethermind,1.1026115286191442e-05,0.001,1.0845262870971967e-05,1.1206030604476895e-05,test_mod,SMOD,target_coef,presets[arithmetic_smod_bits],0.0,0.933489567699623,0.9334318830228664,,,127,1.102611528619144,2,False,False,test_mod,SMOD,target_coef
OPCODE_SMOD,nethermind,1.2380804652409307e-05,0.001,1.2168669459264787e-05,1.2584586581491427e-05,test_mod,SMOD,target_coef,presets[arithmetic_smod_bits],0.0,0.9135815318810251,0.9135065809112775,,,191,1.2380804652409305,2,False,True,test_mod,SMOD,target_coef
OPCODE_SMOD,nethermind,1.1093649145904594e-05,0.001,1.0907216658869614e-05,1.127564011439142e-05,test_mod,SMOD,target_coef,presets[arithmetic_smod_bits],0.0,0.9258819497483913,0.9258176669641315,,,255,1.1093649145904594,2,False,False,test_mod,SMOD,target_coef
OPCODE_SMOD,nethermind,8.103517717607236e-06,0.001,7.960642229348634e-06,8.245442961951995e-06,test_mod,SMOD,target_coef,presets[arithmetic_smod_bits],0.0,0.9145904282572661,0.9145163523060582,,,63,0.8103517717607235,1,False,False,test_mod,SMOD,target_coef
OPCODE_SMOD,reth,7.022182407459678e-06,0.001,6.457351484796753e-06,7.573597298599626e-06,test_mod,SMOD,target_coef,presets[arithmetic_smod_bits],0.0,0.8674767071265065,0.8661104876123468,,,127,0.7022182407459678,1,False,False,test_mod,SMOD,target_coef
OPCODE_SMOD,reth,1.0579388341052486e-05,0.001,9.657919239239316e-06,1.1519785713970112e-05,test_mod,SMOD,target_coef,presets[arithmetic_smod_bits],0.0,0.8589090276166496,0.8574544815096047,,,191,1.0579388341052487,2,False,True,test_mod,SMOD,target_coef
OPCODE_SMOD,reth,8.752523757943517e-06,0.001,7.994458426889806e-06,9.54593205739296e-06,test_mod,SMOD,target_coef,presets[arithmetic_smod_bits],0.0,0.8422319709652357,0.8406054964391041,,,255,0.8752523757943517,1,False,False,test_mod,SMOD,target_coef
OPCODE_SMOD,reth,6.348019432521799e-06,0.001,5.832286440262792e-06,6.881060068399001e-06,test_mod,SMOD,target_coef,presets[arithmetic_smod_bits],0.0,0.8655420025513629,0.864155837629212,,,63,0.6348019432521799,1,False,False,test_mod,SMOD,target_coef
OPCODE_ADDMOD,besu,2.3384147415603977e-05,0.001,2.3072359990163515e-05,2.3705618686487727e-05,test_mod_arithmetic,ADDMOD,target_coef,presets[arithmetic_addmod_bits],0.0,0.831486096832931,0.8314399286402825,,,191,2.3384147415603973,3,False,True,test_mod_arithmetic,ADDMOD,target_coef
OPCODE_ADDMOD,erigon,1.8231410797771338e-05,0.001,1.751959345154466e-05,1.8928194795808375e-05,test_mod_arithmetic,ADDMOD,target_coef,presets[arithmetic_addmod_bits],0.0,0.9041340354738933,0.9037154068078403,,,191,1.8231410797771337,2,False,True,test_mod_arithmetic,ADDMOD,target_coef
OPCODE_ADDMOD,ethrex,1.3607934479114998e-05,0.001,1.327388690727186e-05,1.3941475041192015e-05,test_mod_arithmetic,ADDMOD,target_coef,presets[arithmetic_addmod_bits],0.0,0.8366935042607762,0.8365888206096612,,,191,1.3607934479115,2,False,True,test_mod_arithmetic,ADDMOD,target_coef
OPCODE_ADDMOD,geth,1.6503739501581797e-05,0.001,1.6263022719585036e-05,1.673723820013022e-05,test_mod_arithmetic,ADDMOD,target_coef,presets[arithmetic_addmod_bits],0.0,0.8376432937778395,0.8376035977616483,,,191,1.6503739501581798,2,False,True,test_mod_arithmetic,ADDMOD,target_coef
OPCODE_ADDMOD,nethermind,1.3276616548206059e-05,0.001,1.3077033998794925e-05,1.3482352298866528e-05,test_mod_arithmetic,ADDMOD,target_coef,presets[arithmetic_addmod_bits],0.0,0.9296678090399849,0.9296068097416674,,,191,1.327661654820606,2,False,True,test_mod_arithmetic,ADDMOD,target_coef
OPCODE_ADDMOD,reth,9.424295564539909e-06,0.001,8.542667913149146e-06,1.0305885308136105e-05,test_mod_arithmetic,ADDMOD,target_coef,presets[arithmetic_addmod_bits],0.0,0.8578635463784672,0.8563982221143277,,,191,0.942429556453991,1,False,True,test_mod_arithmetic,ADDMOD,target_coef
OPCODE_MULMOD,besu,3.576427491379667e-05,0.001,3.527918421401602e-05,3.625053303314138e-05,test_mod_arithmetic,MULMOD,target_coef,presets[arithmetic_mulmod_bits],0.0,0.8483617144461608,0.8483201697103926,,,191,3.5764274913796665,4,False,True,test_mod_arithmetic,MULMOD,target_coef
OPCODE_MULMOD,erigon,2.6146350792499917e-05,0.001,2.480573853734721e-05,2.72195625899309e-05,test_mod_arithmetic,MULMOD,target_coef,presets[arithmetic_mulmod_bits],0.0,0.8872636188887777,0.8867713202813051,,,191,2.6146350792499917,3,False,True,test_mod_arithmetic,MULMOD,target_coef
OPCODE_MULMOD,ethrex,2.2648705463729992e-05,0.001,2.211651000423268e-05,2.3190622956879644e-05,test_mod_arithmetic,MULMOD,target_coef,presets[arithmetic_mulmod_bits],0.0,0.8258182848695628,0.8257066299239664,,,191,2.2648705463729994,3,False,True,test_mod_arithmetic,MULMOD,target_coef
OPCODE_MULMOD,geth,2.384731567309605e-05,0.001,2.3500413749082892e-05,2.4203082440800905e-05,test_mod_arithmetic,MULMOD,target_coef,presets[arithmetic_mulmod_bits],0.0,0.8357434916578895,0.8357033311424025,,,191,2.384731567309605,3,False,True,test_mod_arithmetic,MULMOD,target_coef
OPCODE_MULMOD,nethermind,3.349061997596415e-05,0.001,3.286064362042951e-05,3.410551279738787e-05,test_mod_arithmetic,MULMOD,target_coef,presets[arithmetic_mulmod_bits],0.0,0.9080525258619018,0.9079727795703683,,,191,3.3490619975964147,4,False,True,test_mod_arithmetic,MULMOD,target_coef
OPCODE_MULMOD,reth,1.6842973389462694e-05,0.001,1.539191962116757e-05,1.8323174889544914e-05,test_mod_arithmetic,MULMOD,target_coef,presets[arithmetic_mulmod_bits],0.0,0.8532673389319213,0.8517546310858586,,,191,1.6842973389462692,2,False,True,test_mod_arithmetic,MULMOD,target_coef
